Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
Godrej,7,30489,3.9,,0,
LG,8,29999,4.4,929,296,
IFB,7,29990,4.4,681,1576,
IFB,7,29990,4.4,218,425,
IFB,6.5,29990,4.3,55,1118,
LG,6,29990,4.3,55,1118,
IFB,7,29990,,53,1,
Motorola,10.5,29990,4.4,,0,
LG,7,29990,4.5,,11,
LG,7,29990,4.7,,0,
IFB,6.5,29890,4.3,,0,
IFB,6.5,29750,4.4,,83,
IFB,8.5,29431,,4349,52,
SAMSUNG,10,29200,4.2,881,439,
LG,6.5,29189,,44525,471,
IFB,6,28990,4.3,175,235,
Whirlpool,7,28990,4.3,55,1118,
Haier,7,28990,4.4,,113,
Siemens,7,28990,4.4,,6,
IFB,6,28990,4.4,,6,
SAMSUNG,7,28990,4.5,,33,
LG,8,28810,4.2,790,349,
Whirlpool,9.5,28719,4.4,,3,
LG,10,28599,4.1,,6,
IFB,6,28590,4.3,694,2045,
IFB,6,28590,4.2,,2,
LG,9,28390,4.3,,18,
SAMSUNG,9,28080,4.3,694,2045,
IFB,7,27990,,41932,283,
IFB,7,27990,,4349,52,
IFB,7,27990,4.2,821,823,
IFB,7,27990,4.3,815,462,
IFB,7,27990,4.2,790,349,
IFB,7,27990,4.3,694,2045,
LG,10,27990,4.3,669,711,
IFB,7,27990,4.3,669,711,
IFB,7,27990,4.2,603,1116,
IFB,7,27990,,491,14,
IFB,7,27990,4.3,318,205,
IFB,7,27990,4.4,159,1467,
IFB,7,27990,4.2,66,206,
IFB,7,27990,4.3,61,6574,
IFB,7,27990,4.3,55,1118,
IFB,7,27990,,54,0,
IFB,7,27990,3.6,,0,
IFB,7,27990,4.1,,7,
IFB,7,27990,4.2,,76,
IFB,7,27990,4.2,,2,
IFB,7,27990,4.2,,0,
IFB,7,27990,4.2,,1,
IFB,7,27990,4.3,,75,
IFB,7,27990,4.3,,10,
IFB,7,27990,4.4,,113,
IFB,7,27990,4.4,,83,
IFB,7,27990,4.4,,113,
IFB,7,27990,4.4,,19,
IFB,7,27990,4.4,,113,
IFB,7,27990,4.4,,113,
IFB,7,27990,4.5,,4,
IFB,7,27990,4.5,,0,
IFB,7,27990,4.9,,1,
LG,9,27950,4.4,,113,
SAMSUNG,9,27500,4.4,,30,
BOSCH,6.5,27490,,53,0,
LG,9,27450,4.2,790,349,
IFB,6,27390,4.2,924,186,
LG,6.5,26990,4.2,694,2045,
LG,9,26990,4.4,103,113,
