Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
Thomson,7,7690,,4349,52,
Sansui,7,7590,4.4,827,360,
Sansui,6.5,7390,4.5,,18,
MarQ,6.5,7290,4.4,427,424,
Thomson,6.5,7290,4.3,,102,
InnoQ,7.5,7289,4.3,336,1115,
MarQ,7,7190,4.2,790,349,
MarQ,6,7090,,4349,52,
MarQ,6,7090,4.2,993,2444,
MarQ,6,7090,4.3,815,462,
MarQ,6,7090,,482,7,
MarQ,6,7090,4.2,453,185,
MarQ,6,7090,,437,2,
MarQ,6,7090,4.4,427,424,
MarQ,6,7090,4.2,338,117,
MarQ,6,7090,4.1,243,253,
MarQ,6,7090,4.4,218,425,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,61,6574,
MarQ,6,7090,4.3,55,1188,
MarQ,6,7090,4.3,55,1118,
MarQ,6,7090,,54,0,
MarQ,6,7090,,53,1,
MarQ,6,7090,3.8,,31,
MarQ,6,7090,4.1,,31,
MarQ,6,7090,4.2,,9,
MarQ,6,7090,4.2,,5,
MarQ,6,7090,4.2,,5,
MarQ,6,7090,4.2,,80,
MarQ,6,7090,4.3,,6,
MarQ,6,7090,4.3,,22,
MarQ,6,7090,4.4,,113,
MarQ,6,7090,4.4,,8,
MarQ,6,7090,4.4,,12,
MarQ,6,7090,4.5,,0,
MarQ,6,7090,4.5,,4,
MarQ,6,7090,4.6,,1,
White westinghouse,6,6990,4.2,,80,
Candes,6.5,6990,4.5,,2,
InnoQ,6.5,6899,4.3,,8,
Gangnam,6.5,6590,4.3,612,185,
InnoQ,6.5,6490,4.4,815,462,
ONIDA,9,6290,4.4,,28,
ONIDA,7,5890,4.3,55,1118,
DMR,1.5,5799,4.3,815,462,
DMR,4.6,5799,4.2,,80,
Voltas,7.5,5650,4.5,,45,
ONIDA,6.5,5590,4.3,,14,
Daenyx,7.5,5499,,4438,77,
Daenyx,7.5,5499,4.2,,53,
MarQ,7.5,5190,4.3,694,2045,
Thomson,7,4990,4.3,318,205,
